-1.05, 0.75, 1.46, 4.2, -0.75, 0.0, -3.45, -0.6, -2.18, 1.8, 0.75, 0.25, 3.9, 1.65, -0.97, 7.35, -11.1, -11.37, -8.25, 6.3, 6.53, -4.8, 0.45, -2.66, -3.6, 1.5, -2.42, -15.6, -16.05, -29.77, 13.35, 15.0, 15.24, 4.65, 1.95, 3.63, -0.15, 1.65, 2.42, -3.9, -2.55, -5.08, 4.05, 0.15, 2.66, 0.45, 0.9, -4.84,
-0.9, 0.75, -1.94, 4.8, -0.45, -0.48, -3.9, -1.35, -0.24, 1.65, -0.45, -0.97, 4.05, 2.4, -0.24, 7.95, -9.6, -9.44, -7.95, 5.55, 5.32, -5.1, -0.6, -1.21, -5.1, 1.5, -3.88, -13.95, -13.35, -30.01, 14.1, 15.45, 16.45, 2.55, 1.95, 2.91, 2.55, 1.8, 2.67, -4.65, -3.6, -3.39, 4.65, 0.15, 3.63, -1.8, -0.45, 0.0,
-2.4, 1.2, 0.0, 4.5, -1.8, -0.48, -3.9, -3.0, -1.69, 2.55, -0.75, 0.0, 3.9, 1.5, -1.69, 5.85, -10.35, -9.68, -10.65, 6.45, 4.36, -2.85, -0.6, -1.94, -5.1, 1.65, -2.42, -14.55, -14.55, -29.77, 13.35, 14.25, 17.43, 3.6, 2.55, 1.94, 1.95, 2.7, 2.18, -3.9, -4.35, -3.87, 3.9, -0.45, 2.66, -1.95, 0.0, -0.73,
-3.0, -0.15, -1.21, 4.5, -1.95, 0.24, -6.15, -0.3, -0.97, 1.95, 0.45, 0.97, 5.1, 4.95, 1.21, 8.85, -11.55, -10.65, -9.9, 6.75, 6.05, -3.9, 0.0, -1.21, -3.3, 3.75, -2.42, -14.4, -15.9, -29.52, 14.7, 16.2, 16.7, 4.35, 2.1, 5.08, -0.45, 2.1, 2.18, -4.2, -2.55, -1.45, 4.8, 1.05, 5.08, -1.65, 0.0, -1.21,
-0.3, 0.15, 0.0, 5.55, -1.95, -2.67, -4.95, 0.6, -2.18, 1.65, 1.35, 0.48, 4.8, 3.15, 1.94, 6.9, -12.45, -9.68, -7.65, 6.6, 5.8, -5.25, 0.6, 0.49, -3.3, 3.9, -2.18, -12.45, -13.95, -29.28, 14.7, 15.45, 15.98, 2.25, 1.8, 1.7, -0.9, 0.75, 2.18, -4.05, -3.6, -3.15, 6.15, 0.45, 4.36, -1.65, 0.0, -2.42,
0.0, 0.0, -3.39, 3.6, -1.95, -1.45, -3.45, 0.45, -1.69, 0.45, -0.45, 0.0, 3.0, 3.15, 2.17, 7.05, -8.85, -11.37, -9.45, 6.75, 6.3, -3.75, -0.45, -0.48, -3.75, 3.0, -4.84, -13.05, -14.55, -30.49, 12.75, 14.85, 12.59, 2.7, 1.65, 1.21, 0.6, 2.25, 1.45, -4.5, -3.45, -1.93, 5.25, 2.25, 2.18, -0.3, -0.45, -1.94,
-1.05, 0.3, -0.48, 5.1, -0.9, -2.42, -4.8, -0.45, 0.24, 1.65, -0.15, -2.9, 3.6, 2.55, 1.7, 6.9, -10.5, -8.95, -9.15, 5.7, 7.01, -3.75, -0.6, 0.24, -3.6, 2.7, 0.0, -13.95, -14.1, -25.41, 14.1, 14.4, 16.7, 4.05, 0.45, 3.14, 1.05, 3.0, 1.94, -5.4, -3.45, -2.91, 4.5, 0.15, 2.42, -2.25, 0.3, -2.66,
0.15, 0.0, -2.18, 3.75, -1.05, 0.48, -5.1, -0.3, -1.45, 1.5, 0.9, 0.24, 4.65, 2.7, -0.25, 5.4, -9.9, -8.71, -9.3, 6.15, 5.56, -3.3, -0.15, -1.69, -4.8, 2.4, -2.9, -13.8, -13.95, -30.0, 13.65, 15.6, 14.76, 2.7, 1.5, 2.42, 0.75, 3.3, 2.66, -3.0, -4.35, -5.32, 5.25, 0.15, 3.63, -1.35, 0.9, -0.97,
-1.2, -0.45, -1.45, 3.15, -0.45, -1.7, -3.15, 0.3, -1.94, 2.1, 1.95, 0.24, 4.35, 4.35, -1.46, 7.35, -8.85, -10.65, -8.4, 6.45, 9.68, -4.8, 0.9, -2.66, -5.25, 2.7, -3.39, -14.25, -14.4, -31.95, 14.4, 14.4, 14.28, 3.3, 1.05, 0.73, -0.15, 2.25, 1.69, -4.2, -4.05, -2.66, 4.95, 1.65, 2.67, -0.75, 0.0, -4.35,
-0.9, 1.5, -1.94, 4.05, -0.15, -0.48, -2.1, -1.35, -0.73, 1.5, -1.5, 2.18, 3.75, 3.45, -1.21, 8.1, -9.9, -9.92, -8.55, 6.75, 5.57, -5.4, -0.45, -0.97, -4.8, 1.5, -2.9, -13.35, -14.25, -28.31, 14.25, 13.5, 14.52, 3.45, 1.8, 4.11, 1.35, 2.4, 1.94, -3.45, -2.25, -2.66, 5.1, 0.3, 4.6, -2.7, 0.3, -2.9,
-1.35, 0.3, 0.97, 4.2, 0.6, 0.24, -2.85, -0.45, -1.21, 2.55, -0.6, 1.21, 4.05, 3.45, -0.25, 6.9, -9.0, -8.47, -8.4, 7.5, 5.81, -4.35, 0.0, -1.21, -4.65, 3.6, -3.63, -15.15, -14.4, -28.55, 13.2, 15.3, 13.31, 2.1, 1.65, 4.6, 1.05, 2.7, 1.69, -4.35, -3.6, -1.45, 4.35, -0.15, 4.36, -1.95, 0.45, -2.66,
-0.9, 1.5, -2.9, 4.05, -0.75, -1.21, -4.2, 1.2, -0.73, 1.8, -0.6, 0.24, 4.95, 3.6, -2.42, 6.9, -9.15, -9.2, -9.0, 7.2, 3.87, -3.45, 1.2, -0.73, -2.7, 2.55, -4.12, -13.35, -14.85, -28.31, 14.7, 13.95, 13.31, 2.55, 1.2, 2.66, 0.75, 0.9, 1.21, -5.1, -2.85, -3.87, 5.1, 0.9, 3.15, -1.8, 0.15, -1.45,
-0.3, -0.3, -2.18, 4.95, 0.0, -1.93, -4.5, -0.3, -1.45, 1.95, -0.3, 0.0, 4.95, 2.55, 0.72, 6.75, -9.9, -8.47, -8.1, 5.55, 7.75, -5.55, 0.6, -3.14, -3.45, 1.95, -2.42, -13.8, -13.65, -28.8, 14.25, 16.65, 15.49, 3.0, 1.95, 1.93, -0.6, 1.95, 1.45, -5.4, -4.5, -2.42, 5.25, 1.35, 4.84, -0.9, 1.65, -1.69,
-1.2, 0.75, 0.97, 4.2, -1.05, -0.73, -4.35, -0.75, -1.7, 1.5, -0.9, -0.24, 3.9, 2.25, -1.21, 6.6, -9.75, -10.16, -8.55, 6.15, 7.98, -4.65, 0.0, -1.94, -4.8, 1.8, -3.14, -13.2, -11.85, -27.59, 13.8, 15.45, 14.76, 3.75, 1.2, 0.72, 1.35, 2.1, 2.42, -2.85, -3.15, -5.57, 3.0, -0.15, 6.29, -1.35, 0.0, 1.21,
-1.65, 0.75, -1.94, 3.45, -3.0, -2.66, -5.25, -0.3, -0.97, 2.55, 0.6, -1.21, 5.55, 4.2, -2.18, 6.9, -10.95, -12.1, -9.75, 7.35, 6.77, -4.2, 1.05, -1.21, -4.2, 2.1, -2.9, -14.55, -14.1, -27.83, 14.7, 13.65, 15.49, 3.15, 3.3, 2.66, 1.8, 2.1, 0.72, -3.6, -3.45, -5.56, 4.05, 1.05, 1.94, -2.1, 0.6, -0.72,
-1.65, 0.45, -2.17, 4.65, -1.35, -1.45, -4.2, -0.75, -2.42, 1.2, 0.75, -0.97, 3.3, 3.75, -1.45, 6.45, -10.05, -9.92, -9.0, 6.15, 6.05, -3.75, -0.6, -2.42, -3.6, 1.65, -3.15, -14.55, -14.55, -31.46, 14.4, 15.6, 14.04, 4.35, 1.35, 1.94, 0.75, 2.4, 1.7, -3.3, -3.15, -6.05, 4.65, 0.75, 3.87, -1.2, 0.15, -2.42,
0.0, 0.15, -1.45, 3.75, -1.5, 1.45, -3.6, 0.45, -2.66, 1.05, 0.0, -1.45, 4.5, 4.05, 1.21, 7.8, -10.2, -10.4, -7.35, 6.6, 7.51, -4.95, -0.6, -0.49, -4.35, 2.4, -3.14, -13.65, -14.1, -29.28, 14.1, 16.2, 14.52, 3.15, 2.1, 2.9, -0.15, 2.1, 2.9, -3.6, -0.9, -3.15, 4.65, 1.5, 4.12, -0.15, -0.6, -4.11,
-0.3, 0.6, -0.96, 4.5, -1.8, -1.21, -3.45, -0.75, 1.45, 1.5, 0.9, -1.69, 5.7, 3.3, 0.72, 6.45, -9.3, -9.93, -7.65, 6.6, 4.11, -4.35, 0.45, -0.97, -4.5, 2.4, -2.66, -13.2, -15.45, -28.56, 12.75, 14.7, 14.52, 3.45, 3.45, 4.11, 0.9, 1.35, 1.21, -4.05, -2.55, -2.42, 6.0, 0.75, 3.87, 0.15, 0.0, -2.42,
-1.2, 0.75, -0.73, 4.8, 0.3, -0.49, -4.35, -1.5, 0.0, 1.5, -0.15, -2.9, 2.55, 3.6, 2.91, 7.95, -9.0, -7.75, -7.8, 5.55, 4.6, -4.95, 2.25, -1.94, -4.05, 1.8, -0.49, -14.85, -15.3, -26.38, 14.55, 15.75, 14.76, 4.05, 2.1, -0.24, 0.6, 1.65, 0.0, -3.45, -2.1, -3.63, 4.2, 0.3, 4.12, -0.6, -0.15, -1.45,
